pais,region,nivel_ingresos,esperanza_vida,gasto_salud_usd,mortalidad_infantil,medicos_por_1000,poblacion_urbana_pct,obesidad_pct,diabetes_pct,tabaquismo_pct,camas_hospital_por_1000,vacunacion_pct
Afghanistan,Asia,Low,60.9,18.4,,0.19,40.8,15.2,9.2,10.1,1.0,41.1
Albania,Europe,Medium,65.1,673.8,28.1,1.18,45.0,27.2,9.7,17.3,1.2,84.5
Algeria,Africa,Medium,74.5,525.3,28.2,0.59,47.3,15.2,7.6,20.8,1.3,71.4
Angola,Africa,Low,,37.1,54.7,0.79,37.4,13.4,7.8,28.2,1.6,48.7
Argentina,Americas,High,79.4,1809.5,7.6,,71.5,18.9,10.1,33.0,3.4,81.7
Armenia,Europe,Medium,69.2,797.5,24.2,2.44,67.5,10.2,12.8,32.0,2.3,71.1
Australia,Oceania,Very High,,9964.1,,4.42,87.2,20.6,10.3,19.7,7.3,93.8
Austria,Europe,Very High,83.7,3685.2,3.9,2.71,91.0,31.0,5.9,18.6,6.0,90.9
Azerbaijan,Asia,Medium,69.8,486.4,14.8,0.95,50.8,20.6,8.8,20.5,1.2,79.5
Bangladesh,Asia,Low,59.7,78.8,81.0,0.65,21.7,6.5,6.0,18.2,1.0,67.7
Belgium,Europe,Very High,80.5,5228.4,3.0,5.27,83.1,32.6,8.9,10.9,8.5,97.2
Bolivia,Americas,Medium,75.8,322.4,30.0,1.41,53.5,27.2,15.0,28.9,2.8,68.6
Brazil,Americas,High,74.1,2913.7,5.8,1.87,72.3,25.1,7.6,17.4,5.1,82.2
Bulgaria,Europe,High,75.8,2277.7,8.0,2.13,76.0,16.1,9.2,35.0,5.5,79.2
Cambodia,Asia,Low,60.4,148.3,72.5,0.03,43.6,9.5,7.6,30.5,0.4,44.4
Cameroon,Africa,Low,65.4,129.2,,0.35,24.7,5.1,8.4,23.3,0.7,68.2
Canada,Americas,Very High,78.9,4019.6,3.2,5.2,91.9,32.6,11.3,13.8,4.4,89.1
Chile,Americas,High,79.2,854.5,12.4,2.16,80.3,27.0,12.0,31.2,2.9,91.4
China,Asia,High,73.2,1224.9,8.3,3.23,81.2,19.2,10.5,23.0,5.4,87.1
Colombia,Americas,High,75.2,2133.7,10.1,2.27,71.8,18.8,11.0,15.0,5.2,87.2
Congo,Africa,Low,62.2,55.5,50.1,0.34,29.1,,3.9,18.1,1.9,65.7
Costa Rica,Americas,High,76.3,1772.8,7.1,2.45,79.6,26.9,7.2,,3.8,88.8
Croatia,Europe,High,78.9,960.2,9.1,2.76,62.7,25.4,9.5,19.9,4.3,78.1
Cuba,Americas,High,78.9,1804.2,13.0,2.84,81.7,23.9,12.7,32.8,4.1,90.2
